Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Day,Start,Stop,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG
CAS AH111 F1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 G1,Anc to MED Art,Martin,0,Discussion,0,18,,,Tue,5:00 PM,5:50 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AH111 G1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 H1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,10:10 AM,11:00 AM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 H1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 I1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,2:30 PM,3:20 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 I1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 J1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,3:35 PM,4:25 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 J1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 K1,Anc to MED Art,Martin,0,Discussion,0,18,,,Thu,2:00 PM,2:50 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 K1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 L1,Anc to MED Art,Martin,0,Discussion,0,18,,,Thu,5:00 PM,5:50 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 L1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 M1,Anc to MED Art,Martin,0,Discussion,0,18,,,Fri,10:10 AM,11:00 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH111 M1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH201 A1,Understand Arch,Abramson,4,Independent,0,80,,,"Tue,Thu",2:00 PM,3:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH210 A1,Learning to See,Ribner,4,Lecture,0,36,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH210 B1,Learning to See,TBA,0,Discussion,0,18,,,Wed,4:40 PM,5:30 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH210 C1,Learning to See,TBA,0,Discussion,0,18,,,Wed,3:35 PM,4:25 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH225 A1,Arts of Asia,Tseng,4,Independent,0,48,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH232 A1,Arch Anc Egypt,Bard,4,Independent,0,10,,,"Mon,Wed,Fri",2:30 PM,3:20 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH251 A1,Anc Maya Civ,Clarke,4,Independent,0,10,,,"Mon,Wed,Fri",1:25 PM,2:15 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH257 A1,Renaissance Art,TBA,4,Independent,0,44,,,"Tue,Thu",11:00 AM,12:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH258EA1,Spacs Span Art,Staff,4,Independent,Cancelled,Cancelled,,,Arranged,,,,09/02/2021,12/10/2021,,,,,,,,,,Cancelled,Cancelled
CAS AH258EMP,Spacs Span Art,,4,Independent,0,999,,,Arranged,,,,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH284 A1,Arts in America,Barrett,4,Independent,0,44,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH300ECI,Frameworks Art,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH300ELP,Frameworks Art,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH308EGN,Switz: Art&Arch,Staff,4,Independent,0,999,,,Arranged,,,36691,08/25/2021,12/08/2021,SAGN,STUDY ABROAD-GENEVA,08/25/2021,12/08/2021,11/04/2021,08/25/2021,11/27/2021,09/26/2021,11/03/2021,0,0
CAS AH317 A1,Morocc-Timbuktu,Becker,4,Independent,0,24,,,"Mon,Wed,Fri",2:30 PM,3:20 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH319ELP,Arts&Media Brit,Staff,4,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH320ECI,Brit Art&Design,Staff,4,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH320ELP,Brit Art&Design,Staff,4,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH323 A1,Topics Latin Am,Reyes,4,Independent,0,44,,,"Tue,Thu",2:00 PM,3:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH327 A1,Arts of China,Feng,4,Independent,0,44,,,"Tue,Thu",12:30 PM,1:45 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH349EPV,Art Ren Padua,Staff,4,Independent,0,999,,,Arranged,,,36675,08/30/2021,12/17/2021,SAPV,STUDY ABROAD-PADOVA,08/29/2021,12/17/2021,11/11/2021,08/28/2021,12/08/2021,10/01/2021,11/10/2021,0,0
CAS AH354EA1,Venetn Art/Arch,Staff,4,Independent,Cancelled,Cancelled,,,Arranged,,,20208,09/02/2021,12/10/2021,,,,,,,,,,Cancelled,Cancelled
CAS AH354EVN,Venetn Art/Arch,,4,Independent,0,999,,,Arranged,,,20208,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH356EPP,Mod Art Paris,Staff,4,Independent,0,999,,,Arranged,,,36677,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH364EMP,Art&Arch Madrid,Staff,4,Independent,0,999,,,Arranged,,,36671,09/03/2021,12/17/2021,SAMP,STUDY ABROAD-MADRID (MP & MM),09/03/2021,12/18/2021,11/13/2021,09/02/2021,12/09/2021,10/06/2021,11/12/2021,0,0
CAS AH365 A1,Northrn Baroque,Zell,4,Independent,0,24,,,"Mon,Wed,Fri",11:15 AM,12:05 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH367 A1,Material Cultur,TBA,4,Independent,0,18,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH374ESD,Aust Art/Arch,Staff,4,Independent,0,999,,,Arranged,,,36678,08/18/2021,12/08/2021,SASD,STUDY ABROAD-SYDNEY,08/18/2021,12/08/2021,10/31/2021,08/18/2021,11/27/2021,09/22/2021,10/30/2021,0,0
CAS AH380 A1,Age of Napoleon,Ribner,4,Independent,0,44,,,"Mon,Wed,Fri",1:25 PM,2:15 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH381ELP,London Archtect,Staff,4,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH381ERC,London Archtect,Staff,4,Independent,0,999,,,Arranged,,,36673,08/25/2021,12/10/2021,SARC,STUDY ABROAD-ROYAL COLLEGE OF MUSIC,08/25/2021,12/11/2021,11/05/2021,08/25/2021,12/02/2021,09/29/2021,11/04/2021,0,0
CAS AH383EPP,Paris Arch&Urbn,Staff,4,Independent,0,999,,,Arranged,,,36677,08/31/2021,12/20/2021,SAPP,STUDY ABROAD-PARIS,08/31/2021,12/20/2021,11/13/2021,09/01/2021,12/11/2021,10/06/2021,11/12/2021,0,0
CAS AH388EA1,British Paintng,Staff,4,Independent,Cancelled,Cancelled,,,Arranged,,,,09/02/2021,12/10/2021,,,,,,,,,,Cancelled,Cancelled
CAS AH388ECI,British Paintng,,4,Independent,0,999,,,Arranged,,,36673,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH388ELP,British Paintng,,4,Independent,0,999,,,Arranged,,,66673,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH391 A1,20C Art to 1940,Sichel,4,Independent,0,44,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH393 A1,Contemp Art,Williams,4,Independent,0,72,,,"Tue,Thu",3:30 PM,4:45 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH398 A1,20C Architectur,Bozdogan,4,Independent,0,44,,,"Tue,Thu",9:30 AM,10:45 AM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH404 A1,Museum Exhibits,TBA,4,Independent,0,14,,,Tue,12:30 PM,3:15 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AH430ECI,Sem Greece Rome,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH440ECI,Sem Medieval,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH440ELP,Sem Medieval,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH450ECI,Sem Renaissance,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH450ELP,Sem Renaissance,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH460ECI,Sem 17th/18th C,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
