Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Day,Start,Stop,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG
CAS CH181 B2,Gen&Phys Chem 1,Bassina,0,Discussion,0,8,,,Thu,11:15 AM,12:05 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH181 B4,Gen&Phys Chem 1,Bassina,0,Discussion,0,8,,,Thu,3:35 PM,4:25 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH181 L1,Gen&Phys Chem 1,Abrams,0,Lab,0,6,,,Wed,12:20 PM,4:20 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH181 L2,Gen&Phys Chem 1,Abrams,0,Lab,0,6,,,Wed,12:20 PM,4:20 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH181 L3,Gen&Phys Chem 1,Abrams,0,Lab,0,6,,,Wed,5:30 PM,9:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH181 L4,Gen&Phys Chem 1,Abrams,0,Lab,0,6,,,Wed,5:30 PM,9:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH181 P1,Gen&Phys Chem 1,Abrams,0,Pre-Lab,0,24,,,Tue,11:00 AM,12:15 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH195 A1,Fresh Sem Chem,Rorke,2,Independent,0,10,,,Tue,3:30 PM,5:15 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 A1,Organic Chem 1,Loy,4,Lecture,0,240,,,"Tue,Thu",8:00 AM,9:15 AM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH203 A1,Organic Chem 1,,,,,,,,Thu,6:30 PM,8:30 PM,,,,,,,,,,,,,0,0
CAS CH203 A2,Organic Chem 1,Courtney,4,Lecture,0,240,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203 A2,Organic Chem 1,,,,,,,,Thu,6:30 PM,8:30 PM,,,,,,,,,,,,,0,0
CAS CH203 A3,Organic Chem 1,Staff,4,Lecture,0,240,,,"Tue,Thu",5:00 PM,6:15 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH203 A3,Organic Chem 1,,,,,,,,Thu,6:30 PM,8:30 PM,,,,,,,,,,,,,0,0
CAS CH203 DA,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,9:05 AM,9:55 AM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DB,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,10:10 AM,11:00 AM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DC,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,12:20 PM,1:10 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DD,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,12:20 PM,1:10 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DE,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,1:25 PM,2:15 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DF,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,1:25 PM,2:15 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DG,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,2:30 PM,3:20 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DH,Organic Chem 1,Loy,0,Discussion,0,24,,,Mon,2:30 PM,3:20 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 DI,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,9:30 AM,10:20 AM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DJ,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,11:15 AM,12:05 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DK,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,12:30 PM,1:20 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DL,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,12:30 PM,1:20 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DM,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,2:00 PM,2:50 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DN,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,3:35 PM,4:25 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DO,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,3:35 PM,4:25 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DP,Organic Chem 1,Loy,0,Discussion,0,12,,,Tue,6:30 PM,7:20 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DQ,Organic Chem 1,Loy,0,Discussion,0,24,,,Tue,6:30 PM,7:20 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 DR,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,9:05 AM,9:55 AM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 DS,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,9:05 AM,9:55 AM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 DT,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,10:10 AM,11:00 AM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D0,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,10:10 AM,11:00 AM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D1,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,11:15 AM,12:05 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D2,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,11:15 AM,12:05 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D3,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,12:20 PM,1:10 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D4,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,12:20 PM,1:20 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D5,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,1:25 PM,2:15 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D6,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,1:25 PM,2:15 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D7,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,2:30 PM,3:20 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D8,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,2:30 PM,3:20 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 D9,Organic Chem 1,Loy,0,Discussion,0,24,,,Wed,3:35 PM,4:25 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 EX,Organic Chem 1,Loy,0,Discussion,0,100,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203 LX,Organic Chem 1,Loy,0,Lab,0,100,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203 L0,Organic Chem 1,Loy,0,Lab,0,115,,,Mon,12:20 PM,3:50 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 L1,Organic Chem 1,Loy,0,Lab,0,115,,,Mon,5:30 PM,9:00 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH203 L2,Organic Chem 1,Loy,0,Lab,0,76,,,Tue,12:30 PM,4:00 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 L3,Organic Chem 1,Loy,0,Lab,0,36,,,Tue,5:30 PM,9:00 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH203 L4,Organic Chem 1,Loy,0,Lab,0,76,,,Wed,12:20 PM,3:50 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 L5,Organic Chem 1,Loy,0,Lab,0,65,,,Wed,5:30 PM,9:00 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 L6,Organic Chem 1,Loy,0,Lab,0,57,,,Thu,12:30 PM,4:00 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH203 L7,Organic Chem 1,Loy,0,Lab,0,36,,,Thu,5:30 PM,9:00 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH203 L8,Organic Chem 1,Loy,0,Lab,0,76,,,Fri,12:20 PM,3:50 PM,20205,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203 L9,Organic Chem 1,Loy,0,Lab,0,36,,,Fri,5:00 PM,8:30 PM,20205,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203 P1,Organic Chem 1,Loy,0,Pre-Lab,0,260,,,Wed,4:40 PM,5:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH203 P2,Organic Chem 1,Loy,0,Pre-Lab,0,260,,,Thu,12:30 PM,1:20 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH203 P3,Organic Chem 1,Loy,0,Pre-Lab,0,260,,,Fri,12:20 PM,1:10 PM,20205,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH203EMP,Organic Chem 1,Staff,4,Lecture,0,999,,,Arranged,,,36671,08/31/2021,12/18/2021,SAMS,STUDY ABROAD - MADRID SCIENCE,08/31/2021,12/18/2021,11/12/2021,09/01/2021,12/09/2021,10/03/2021,11/11/2021,0,0
CAS CH211 A1,Int Org Chem 1,Snyder,4,Lecture,0,40,,,"Tue,Thu",2:00 PM,3:15 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 A1,Int Org Chem 1,Loy,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 BX,Int Org Chem 1,Snyder,0,Discussion,0,15,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 B1,Int Org Chem 1,Snyder,0,Discussion,0,17,,,Mon,3:35 PM,4:25 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 B1,Int Org Chem 1,Loy,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 B2,Int Org Chem 1,Snyder,0,Discussion,0,16,,,Mon,2:30 PM,3:20 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 B2,Int Org Chem 1,Loy,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 LX,Int Org Chem 1,Loy,0,Lab,0,10,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 LX,Int Org Chem 1,Snyder,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 L1,Int Org Chem 1,Loy,0,Lab,0,18,,,Tue,5:30 PM,9:30 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 L1,Int Org Chem 1,Snyder,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 L2,Int Org Chem 1,Loy,0,Lab,0,18,,,Wed,12:20 PM,4:20 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 L2,Int Org Chem 1,Snyder,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH211 L3,Int Org Chem 1,Loy,0,Lab,0,11,,,Wed,5:30 PM,9:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH211 P1,Int Org Chem 1,Loy,0,Pre-Lab,0,50,,,Fri,2:30 PM,4:15 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH211 P1,Int Org Chem 1,Snyder,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH218 A1,Integrated Orgo,Loy,4,Lecture,0,8,,,"Tue,Thu",8:00 AM,9:15 AM,,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH218 A2,Integrated Orgo,Courtney,4,Lecture,0,8,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH218 A3,Integrated Orgo,Staff,4,Lecture,0,8,,,"Tue,Thu",5:00 PM,6:15 PM,,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH218 A3,Integrated Orgo,,,,,,,,Thu,6:30 PM,8:30 PM,,,,,,,,,,,,,0,0
CAS CH218 B1,Integrated Orgo,Staff,0,Discussion,0,18,,,Arranged,,,,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH218 L1,Integrated Orgo,Courtney,0,Lab,0,18,,,Fri,12:20 PM,4:20 PM,,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH218 P1,Integrated Orgo,Courtney,0,Pre-Lab,0,18,,,Mon,2:30 PM,4:15 PM,,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH241 A1,so Res CH1 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH242 A1,so Res CH2 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH243 A1,so Res CH3 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH244 A1,so Res CH4 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH261 A1,so Res CH1 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH262 A1,so Res CH2 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH263 A1,so Res CH3 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH264 A1,so Res CH4 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH301 A1,Synth & Anal 1,Panek,4,Lecture,0,24,,,"Tue,Thu",11:00 AM,12:15 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH301 L1,Synth & Anal 1,Panek,0,Lab,0,12,,,"Mon,Wed",4:30 PM,8:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH301 L2,Synth & Anal 1,Panek,0,Lab,0,12,,,"Tue,Thu",3:30 PM,7:30 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH303 A1,Instr Anlys Lab,Georgiadis,4,Lecture,0,20,,,Mon,2:30 PM,4:10 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH303 A1,Instr Anlys Lab,Crane,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH303 LX,Instr Anlys Lab,Georgiadis,0,Lab,0,4,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH303 L1,Instr Anlys Lab,Georgiadis,0,Lab,0,8,,,Wed,1:30 PM,7:15 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH303 L1,Instr Anlys Lab,Crane,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH303 L2,Instr Anlys Lab,Georgiadis,0,Lab,0,8,,,Fri,1:30 PM,7:15 PM,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH303 L2,Instr Anlys Lab,Crane,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH341 A1,Rh Res CH1 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH342 A1,Jr Res CH2 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH343 A1,Jr Res CH3 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH344 A1,Jr Res CH4 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH345 A1,Jr Res CH5 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH346 A1,Jr Res CH6 2CR,Cui,2,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH351 A1,Phys Chem 1,Straub,4,Lecture,0,54,,,"Tue,Thu",9:30 AM,10:45 AM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH351 B1,Phys Chem 1,Straub,0,Discussion,0,17,,,Mon,10:10 AM,11:00 AM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH351 B2,Phys Chem 1,Straub,0,Discussion,0,16,,,Mon,1:25 PM,2:15 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH351 B3,Phys Chem 1,Straub,0,Discussion,0,16,,,Mon,4:40 PM,5:30 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH361 A1,Jr Res CH1 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH362 A1,Jr Res CH2 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH363 A1,Jr Res CH3 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH364 A1,Jr Res CH4 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH365 A1,Jr Res CH5 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH366 A1,Jr Res CH6 4CR,Cui,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH373 A1,Princ Biochem,Szymczyna,4,Lecture,0,180,,,"Tue,Thu",2:00 PM,3:15 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH373 A1,Princ Biochem,Szymczyna,,,,,,,Thu,6:30 PM,8:30 PM,,,,,,,,,,,,,0,0
CAS CH373 BA,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Thu,3:35 PM,4:25 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH373 BB,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Fri,2:30 PM,3:20 PM,20205,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH373 B1,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Tue,9:30 AM,10:20 AM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH373 B2,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Tue,11:15 AM,12:05 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH373 B3,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Tue,12:30 PM,1:20 PM,20205,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS CH373 B4,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Wed,5:00 PM,5:50 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH373 B5,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Thu,12:30 PM,1:20 PM,20205,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS CH373 B6,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Wed,4:40 PM,5:30 PM,20205,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS CH373 B7,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Fri,11:15 AM,12:05 PM,20205,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS CH373 B8,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Mon,10:10 AM,11:00 AM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH373 B9,Princ Biochem,Szymczyna,0,Discussion,0,18,,,Mon,1:25 PM,2:15 PM,20205,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS CH401 A1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 A2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 B1,Sr Indep Work,Beeler,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 B2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 B3,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 B4,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 C1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 C2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 C3,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 C4,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 C5,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 D1,Sr Indep Work,Doerrer,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 D2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 E1,Sr Indep Work,Elliott,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 G1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 G2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 J1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 K1,Sr Indep Work,Kamenetska,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 K2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 L1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 L2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 L3,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 P1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 P2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 P3,Sr Indep Work,Porco,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 R1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 R2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S3,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S4,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S5,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 S6,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 T1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 T2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 V1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 V2,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 V3,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 W1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 Y1,Sr Indep Work,Staff,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH401 Z1,Sr Indep Work,Ziegler,4,Directed Study,0,5,,,Arranged,,,20205,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH421 A1,Biochemistry 1,Tolan,4,Lecture,0,24,,,Mon,8:00 AM,8:50 AM,20202,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS CH421 A1,Biochemistry 1,Whitty,,,,,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,,,,,,,,,,,,,0,0
CAS CH421 A1,Biochemistry 1,Vardar-Ulu,,,,,,,,,,,,,,,,,,,,,,0,0
CAS CH421 A2,Biochemistry 1,Whitty,4,Lecture,0,24,,,"Tue,Thu",11:00 AM,12:15 PM,20202,09/02/2021,12/09/2021,,,,,,,,,,0,0
